HEADERS: ('map_id', 'theme', 'subtheme', 'title', 'short_name', 'objective', 'key_questions', 'key_indicators', 'study_scale', 'unit_of_analysis', 'classification', 'data_sources', 'data_vintage', 'spatial_layer_type', 'processing_steps', 'symbology_type', 'status', 'owner', 'priority', 'effort', 'dependencies', 'deliverable_format', 'validation_checks', 'risks_limitations')

M00 | Contexte | Cadre | localisation_multiechelles | status=todo | priority=High | effort=S | scale=Multi-échelles | layer_type=Vector | symbology=multi-cadres | unit=polygone + repères | format=Layout PDF
M01 | Contexte | Cadre | perimetre_sous_secteurs | status=todo | priority=High | effort=S | scale=Quartier | layer_type=Vector | symbology=polygones catégoriels | unit=polygones | format=Layout PDF + couche GPKG/GDB
M02 | Gouvernance | Acteurs | acteurs_perimetres_action | status=todo | priority=Med | effort=M | scale=Quartier | layer_type=Vector | symbology=points + polygones | unit=polygones/points | format=Layout PDF
M03 | Forme urbaine | Occupation du sol | occupation_sol_2026 | status=partial | priority=High | effort=L | scale=Quartier | layer_type=Vector | symbology=choroplèthe catégoriel | unit=parcelle/îlot | format=Layout PDF + table synthèse CSV
M04 | Forme urbaine | Occupation du sol | occupation_sol_evolution | status=todo | priority=Med | effort=L | scale=Quartier | layer_type=Vector | symbology=carte de changement | unit=parcelle/îlot | format=Layout PDF + tableau transitions
M05 | Forme urbaine | Occupation du sol | usages_commerces_superposition | status=todo | priority=High | effort=M | scale=Quartier | layer_type=Vector | symbology=points + fond catégoriel | unit=points (commerces) + polygones (usages) | format=Layout PDF
M06 | Forme urbaine | Parcellaire | parcellaire_taille_recul | status=partial | priority=High | effort=M | scale=Quartier | layer_type=Vector | symbology=choroplèthe (gradué) | unit=parcelle | format=Layout PDF + stats
M07 | Forme urbaine | Gabarits | hauteurs_etages_degrade | status=have | priority=High | effort=S | scale=Quartier | layer_type=Vector | symbology=choroplèthe (dégradé) | unit=bâtiment | format=Layout PDF + couche
M08 | Forme urbaine | Typomorphologie | typomorphologie_styles_ensembles | status=todo | priority=Med | effort=L | scale=Quartier | layer_type=Vector | symbology=catégoriel + annotations | unit=bâtiment/îlot | format=Layout PDF + annexe photos
M09 | Forme urbaine | Bâti | types_batiments_nettoyage | status=partial | priority=High | effort=M | scale=Quartier | layer_type=Vector | symbology=catégoriel | unit=bâtiment | format=Layout PDF + couche
M10 | Forme urbaine | Bâti | age_du_bati | status=todo | priority=Med | effort=L | scale=Quartier | layer_type=Vector | symbology=choroplèthe catégoriel | unit=bâtiment | format=Layout PDF
