list_name,name,label
block_location,alley_cat_lane_nassau_st_to_ln_s_college_e_bathurst,Alley Cat Lane (Nassau St to Ln S College E Bathurst)
block_location,augusta_ave_denison_sq_to_ln_s_nassau_w_augusta,Augusta Ave (Denison Sq to Ln S Nassau W Augusta)
block_location,augusta_ave_dundas_st_w_to_ln_n_dundas_e_augusta,Augusta Ave (Dundas St W to Ln N Dundas E Augusta)
block_location,augusta_ave_ln_n_dundas_e_augusta_to_ln_n_dundas_w_augusta,Augusta Ave (Ln N Dundas E Augusta to Ln N Dundas W Augusta)
block_location,augusta_ave_ln_n_dundas_w_augusta_to_wales_ave,Augusta Ave (Ln N Dundas W Augusta to Wales Ave)
block_location,augusta_ave_ln_s_nassau_w_augusta_to_end,Augusta Ave (Ln S Nassau W Augusta to end)
block_location,augusta_ave_nassau_st_to_oxford_st,Augusta Ave (Nassau St to Oxford St)
block_location,augusta_ave_oxford_st_to_college_st,Augusta Ave (Oxford St to College St)
block_location,augusta_ave_start_to_nassau_st,Augusta Ave (start to Nassau St)
block_location,augusta_ave_wales_ave_to_denison_sq,Augusta Ave (Wales Ave to Denison Sq)
block_location,baldwin_st_littlehayes_lane_to_augusta_ave,Baldwin St (Littlehayes Lane to Augusta Ave)
block_location,baldwin_st_spadina_ave_to_end,Baldwin St (Spadina Ave to end)
block_location,baldwin_st_start_to_end,Baldwin St (start to end)
block_location,baldwin_st_start_to_littlehayes_lane,Baldwin St (start to Littlehayes Lane)
block_location,baldwin_st_start_to_spadina_ave,Baldwin St (start to Spadina Ave)
block_location,bathurst_st_dundas_st_w_to_end,Bathurst St (Dundas St W to end)
block_location,bathurst_st_start_to_dundas_st_w,Bathurst St (start to Dundas St W)
block_location,bathurst_st_start_to_end,Bathurst St (start to end)
block_location,bellevue_ave_bellevue_square_park_trl_to_end,Bellevue Ave (Bellevue Square Park Trl to end)
block_location,bellevue_ave_nassau_st_to_oxford_st,Bellevue Ave (Nassau St to Oxford St)
block_location,bellevue_ave_oxford_st_to_end,Bellevue Ave (Oxford St to end)
block_location,bellevue_ave_start_to_college_st,Bellevue Ave (start to College St)
block_location,bellevue_ave_start_to_nassau_st,Bellevue Ave (start to Nassau St)
block_location,bellevue_square_park_trl_bellevue_ave_to_end,Bellevue Square Park Trl (Bellevue Ave to end)
block_location,bellevue_square_park_trl_start_to_augusta_ave,Bellevue Square Park Trl (start to Augusta Ave)
block_location,bellevue_square_park_trl_start_to_bellevue_ave,Bellevue Square Park Trl (start to Bellevue Ave)
block_location,bellevue_square_park_trl_start_to_end,Bellevue Square Park Trl (start to end)
block_location,bellevue_square_park_trl_wales_ave_to_end,Bellevue Square Park Trl (Wales Ave to end)
block_location,borden_st_college_st_to_end,Borden St (College St to end)
block_location,brunswick_ave_college_st_to_end,Brunswick Ave (College St to end)
block_location,campbell_russell_lane_oxford_st_to_college_st,Campbell Russell Lane (Oxford St to College St)
block_location,carlyle_st_dundas_st_w_to_end,Carlyle St (Dundas St W to end)
block_location,casimir_st_start_to_end,Casimir St (start to end)
block_location,casimir_st_start_to_ln_n_dundas_e_carlyle,Casimir St (start to Ln N Dundas E Carlyle)
block_location,cecil_st_start_to_spadina_ave,Cecil St (start to Spadina Ave)
block_location,chinatown_mural_lane_ln_w_spadina_n_nassau_to_ln_w_spadina_n_oxford,Chinatown Mural Lane (Ln W Spadina N Nassau to Ln W Spadina N Oxford)
block_location,chinatown_mural_lane_nassau_st_to_ln_w_spadina_n_nassau,Chinatown Mural Lane (Nassau St to Ln W Spadina N Nassau)
block_location,college_st_borden_st_to_croft_st,College St (Borden St to Croft St)
block_location,college_st_brunswick_ave_to_end,College St (Brunswick Ave to end)
block_location,college_st_croft_st_to_lippincott_st,College St (Croft St to Lippincott St)
block_location,college_st_douglas_campbell_lane_to_robert_st,College St (Douglas Campbell Lane to Robert St)
block_location,college_st_lippincott_st_to_end,College St (Lippincott St to end)
block_location,college_st_ln_w_spadina_s_college_to_douglas_campbell_lane,College St (Ln W Spadina S College to Douglas Campbell Lane)
block_location,college_st_major_st_to_end,College St (Major St to end)
block_location,college_st_robert_st_to_major_st,College St (Robert St to Major St)
block_location,college_st_start_to_borden_st,College St (start to Borden St)
block_location,college_st_start_to_brunswick_ave,College St (start to Brunswick Ave)
block_location,college_st_start_to_end,College St (start to end)
block_location,college_st_start_to_ln_w_spadina_s_college,College St (start to Ln W Spadina S College)
block_location,croft_st_college_st_to_end,Croft St (College St to end)
block_location,d'arcy_st_start_to_glen_baillie_pl,D'Arcy St (start to Glen Baillie Pl)
block_location,denison_ave_dundas_st_w_to_ln_n_dundas_w_denison_ave,Denison Ave (Dundas St W to Ln N Dundas W Denison Ave)
block_location,denison_ave_ln_n_dundas_w_denison_ave_to_wales_ave,Denison Ave (Ln N Dundas W Denison Ave to Wales Ave)
block_location,denison_sq_augusta_ave_to_bellevue_ave,Denison Sq (Augusta Ave to Bellevue Ave)
block_location,douglas_campbell_lane_college_st_to_end,Douglas Campbell Lane (College St to end)
block_location,dundas_st_w_augusta_ave_to_ln_w_augusta_n_dundas,Dundas St W (Augusta Ave to Ln W Augusta N Dundas)
block_location,dundas_st_w_bathurst_st_to_end,Dundas St W (Bathurst St to end)
block_location,dundas_st_w_carlyle_st_to_bathurst_st,Dundas St W (Carlyle St to Bathurst St)
block_location,dundas_st_w_denison_ave_to_hickory_st,Dundas St W (Denison Ave to Hickory St)
block_location,dundas_st_w_hickory_st_to_casimir_st,Dundas St W (Hickory St to Casimir St)
block_location,dundas_st_w_kensington_ave_to_augusta_ave,Dundas St W (Kensington Ave to Augusta Ave)
block_location,dundas_st_w_spadina_ave_to_end,Dundas St W (Spadina Ave to end)
block_location,dundas_st_w_start_to_kensington_ave,Dundas St W (start to Kensington Ave)
block_location,dundas_st_w_start_to_spadina_ave,Dundas St W (start to Spadina Ave)
block_location,ellen_ave_oxford_st_to_end,Ellen Ave (Oxford St to end)
block_location,fitzroy_ter_kensington_ave_to_end,Fitzroy Ter (Kensington Ave to end)
block_location,glen_baillie_pl_ln_w_spadina_n_glen_baillie_to_end,Glen Baillie Pl (Ln W Spadina N Glen Baillie to end)
block_location,glen_baillie_pl_spadina_ave_to_ln_w_spadina_n_glen_baillie,Glen Baillie Pl (Spadina Ave to Ln W Spadina N Glen Baillie)
block_location,hickory_st_dundas_st_w_to_ln_n_dundas_w_hickory,Hickory St (Dundas St W to Ln N Dundas W Hickory)
block_location,hickory_st_ln_n_dundas_w_hickory_to_ln_n_dundas_w_denison_ave,Hickory St (Ln N Dundas W Hickory to Ln N Dundas W Denison Ave)
block_location,kensington_ave_dundas_st_w_to_fitzroy_ter,Kensington Ave (Dundas St W to Fitzroy Ter)
block_location,kensington_ave_fitzroy_ter_to_kensington_pl,Kensington Ave (Fitzroy Ter to Kensington Pl)
block_location,kensington_ave_kensington_pl_to_end,Kensington Ave (Kensington Pl to end)
block_location,kensington_ave_start_to_baldwin_st,Kensington Ave (start to Baldwin St)
block_location,kensington_pl_kensington_ave_to_end,Kensington Pl (Kensington Ave to end)
block_location,kensington_pl_start_to_end,Kensington Pl (start to end)
block_location,leonard_ave_leonard_pl_to_nassau_st,Leonard Ave (Leonard Pl to Nassau St)
block_location,leonard_ave_wales_ave_to_leonard_pl,Leonard Ave (Wales Ave to Leonard Pl)
block_location,leonard_pl_leonard_ave_to_end,Leonard Pl (Leonard Ave to end)
block_location,lippincott_st_college_st_to_end,Lippincott St (College St to end)
block_location,lippincott_st_ln_s_college_e_bathurst_to_college_st,Lippincott St (Ln S College E Bathurst to College St)
block_location,lippincott_st_nassau_st_to_end,Lippincott St (Nassau St to end)
block_location,lippincott_st_start_to_ln_s_college_e_bathurst,Lippincott St (start to Ln S College E Bathurst)
block_location,littlehayes_lane_baldwin_st_to_end,Littlehayes Lane (Baldwin St to end)
block_location,ln_e_lippincott_n_nassau_nassau_st_to_ln_e_lippincott_n_oxford,Ln E Lippincott N Nassau (Nassau St to Ln E Lippincott N Oxford)
block_location,ln_e_lippincott_n_oxford_oxford_st_to_end,Ln E Lippincott N Oxford (Oxford St to end)
block_location,ln_n_dundas_e_augusta_augusta_ave_to_end,Ln N Dundas E Augusta (Augusta Ave to end)
block_location,ln_n_dundas_e_carlyle_start_to_carlyle_st,Ln N Dundas E Carlyle (start to Carlyle St)
block_location,ln_n_dundas_w_augusta_augusta_ave_to_end,Ln N Dundas W Augusta (Augusta Ave to end)
block_location,ln_n_dundas_w_augusta_start_to_end,Ln N Dundas W Augusta (start to end)
block_location,ln_n_dundas_w_denison_ave_denison_ave_to_end,Ln N Dundas W Denison Ave (Denison Ave to end)
block_location,ln_n_dundas_w_denison_ave_start_to_end,Ln N Dundas W Denison Ave (start to end)
block_location,ln_n_dundas_w_denison_ave_start_to_ln_n_dundas_w_hickory,Ln N Dundas W Denison Ave (start to Ln N Dundas W Hickory)
block_location,ln_n_dundas_w_hickory_hickory_st_to_end,Ln N Dundas W Hickory (Hickory St to end)
block_location,ln_n_dundas_w_hickory_start_to_casimir_st,Ln N Dundas W Hickory (start to Casimir St)
block_location,ln_s_college_e_bathurst_lippincott_st_to_end,Ln S College E Bathurst (Lippincott St to end)
block_location,ln_s_college_e_bathurst_start_to_bathurst_st,Ln S College E Bathurst (start to Bathurst St)
block_location,ln_s_college_e_spadina_spadina_ave_to_end,Ln S College E Spadina (Spadina Ave to end)
block_location,ln_s_nassau_w_augusta_augusta_ave_to_end,Ln S Nassau W Augusta (Augusta Ave to end)
block_location,ln_w_augusta_n_dundas_start_to_end,Ln W Augusta N Dundas (start to end)
block_location,ln_w_spadina_n_glen_baillie_glen_baillie_pl_to_end,Ln W Spadina N Glen Baillie (Glen Baillie Pl to end)
block_location,ln_w_spadina_n_glen_baillie_start_to_end,Ln W Spadina N Glen Baillie (start to end)
block_location,ln_w_spadina_n_nassau_chinatown_mural_lane_to_end,Ln W Spadina N Nassau (Chinatown Mural Lane to end)
block_location,ln_w_spadina_n_oxford_oxford_st_to_end,Ln W Spadina N Oxford (Oxford St to end)
block_location,ln_w_spadina_s_college_college_st_to_end,Ln W Spadina S College (College St to end)
block_location,ln_w_spadina_s_college_start_to_end,Ln W Spadina S College (start to end)
block_location,ln_w_spadina_s_glen_baillie_glen_baillie_pl_to_end,Ln W Spadina S Glen Baillie (Glen Baillie Pl to end)
block_location,ln_w_spadina_s_st_andrew_st_andrew_st_to_ln_w_spadina_n_glen_baillie,Ln W Spadina S St Andrew (St Andrew St to Ln W Spadina N Glen Baillie)
block_location,major_st_college_st_to_end,Major St (College St to end)
block_location,nassau_st_alley_cat_lane_to_bathurst_st,Nassau St (Alley Cat Lane to Bathurst St)
block_location,nassau_st_augusta_ave_to_bellevue_ave,Nassau St (Augusta Ave to Bellevue Ave)
block_location,nassau_st_bellevue_ave_to_end,Nassau St (Bellevue Ave to end)
block_location,nassau_st_chinatown_mural_lane_to_augusta_ave,Nassau St (Chinatown Mural Lane to Augusta Ave)
block_location,nassau_st_lippincott_st_to_alley_cat_lane,Nassau St (Lippincott St to Alley Cat Lane)
block_location,nassau_st_ln_e_lippincott_n_nassau_to_lippincott_st,Nassau St (Ln E Lippincott N Nassau to Lippincott St)
block_location,nassau_st_spadina_ave_to_chinatown_mural_lane,Nassau St (Spadina Ave to Chinatown Mural Lane)
block_location,nassau_st_start_to_ln_e_lippincott_n_nassau,Nassau St (start to Ln E Lippincott N Nassau)
block_location,oxford_st_augusta_ave_to_campbell_russell_lane,Oxford St (Augusta Ave to Campbell Russell Lane)
block_location,oxford_st_bellevue_ave_to_ln_e_lippincott_n_oxford,Oxford St (Bellevue Ave to Ln E Lippincott N Oxford)
block_location,oxford_st_campbell_russell_lane_to_bellevue_ave,Oxford St (Campbell Russell Lane to Bellevue Ave)
block_location,oxford_st_ellen_ave_to_end,Oxford St (Ellen Ave to end)
block_location,oxford_st_ln_e_lippincott_n_oxford_to_lippincott_st,Oxford St (Ln E Lippincott N Oxford to Lippincott St)
