list_name,name,label
business_name,01-APR-2012,01-APR-2012
business_name,01-JAN-1996,01-JAN-1996
business_name,01-JAN-2002,01-JAN-2002
business_name,01-JUN-2016,01-JUN-2016
business_name,02-JUL-2003,02-JUL-2003
business_name,02-JUL-2013,02-JUL-2013
business_name,03-APR-2009,03-APR-2009
business_name,03-AUG-1979,03-AUG-1979
business_name,03-JUN-2003,03-JUN-2003
business_name,03-MAR-2017,03-MAR-2017
business_name,03-SEP-2003,03-SEP-2003
business_name,04-APR-2017,04-APR-2017
business_name,04-DEC-2017,04-DEC-2017
business_name,04-MAR-1996,04-MAR-1996
business_name,05-DEC-2008,05-DEC-2008
business_name,05-JAN-1973,05-JAN-1973
business_name,05-JUN-2019,05-JUN-2019
business_name,05-OCT-2009,05-OCT-2009
business_name,05-OCT-2018,05-OCT-2018
business_name,07-DEC-2010,07-DEC-2010
business_name,09-APR-2019,09-APR-2019
business_name,09-JUL-1984,09-JUL-1984
business_name,09-JUL-2008,09-JUL-2008
business_name,10-JAN-2007,10-JAN-2007
business_name,10-JUN-2016,10-JUN-2016
business_name,11-SEP-2009,11-SEP-2009
business_name,12-DEC-2007,12-DEC-2007
business_name,12-JUN-2012,12-JUN-2012
business_name,12-MAY-2006,12-MAY-2006
business_name,12-SEP-2002,12-SEP-2002
business_name,12 Signs,12 Signs
business_name,13-AUG-2019,13-AUG-2019
business_name,13-JUN-1983,13-JUN-1983
business_name,13-JUN-2007,13-JUN-2007
business_name,14-AUG-2001,14-AUG-2001
business_name,14-OCT-1964,14-OCT-1964
business_name,15-JUN-2007,15-JUN-2007
business_name,15-SEP-1987,15-SEP-1987
business_name,15-SEP-2014,15-SEP-2014
business_name,16-JAN-2007,16-JAN-2007
business_name,16-JUN-2010,16-JUN-2010
business_name,16-MAY-2002,16-MAY-2002
business_name,18-NOV-2022,18-NOV-2022
business_name,19-DEC-1979,19-DEC-1979
business_name,19-JUL-2013,19-JUL-2013
business_name,19-JUN-2014,19-JUN-2014
business_name,21-FEB-1985,21-FEB-1985
business_name,22-APR-1997,22-APR-1997
business_name,22-FEB-2017,22-FEB-2017
business_name,22-JUN-2022,22-JUN-2022
business_name,22-MAR-2001,22-MAR-2001
business_name,22-MAY-2014,22-MAY-2014
business_name,23-APR-2004,23-APR-2004
business_name,23-MAY-2001,23-MAY-2001
business_name,23-NOV-2010,23-NOV-2010
business_name,24-JAN-2002,24-JAN-2002
business_name,24-JAN-2013,24-JAN-2013
business_name,24-OCT-2012,24-OCT-2012
business_name,24/7 Auto Group (Kensington Automotive),24/7 Auto Group (Kensington Automotive)
business_name,25-APR-2005,25-APR-2005
business_name,25-MAR-2014,25-MAR-2014
business_name,25-MAY-2010,25-MAY-2010
business_name,25-OCT-2019,25-OCT-2019
business_name,26-JUN-1996,26-JUN-1996
business_name,26-MAR-1985,26-MAR-1985
business_name,27-JAN-1992,27-JAN-1992
business_name,28-MAY-2013,28-MAY-2013
business_name,28-SEP-2011,28-SEP-2011
business_name,29-MAY-1978,29-MAY-1978
business_name,30-DEC-2008,30-DEC-2008
business_name,30-OCT-2019,30-OCT-2019
business_name,306 Spadina Avenue,306 Spadina Avenue
business_name,31-AUG-2017,31-AUG-2017
business_name,319 College St,319 College St
business_name,321 College St,321 College St
business_name,333 College St,333 College St
business_name,339-341 College Street,339-341 College Street
business_name,347-351 College Street,347-351 College Street
business_name,362 Spadina Avenue,362 Spadina Avenue
business_name,417 College Street,417 College Street
business_name,420 Spadina Avenue,420 Spadina Avenue
business_name,442/444 Spadina - commercial/residential,442/444 Spadina - commercial/residential
business_name,454 Spadina Avenue,454 Spadina Avenue
business_name,462 Spadina Avenue,462 Spadina Avenue
business_name,468 Spadina Avenue,468 Spadina Avenue
business_name,586 Hotel Toronto (hotel/lodging),586 Hotel Toronto (hotel/lodging)
business_name,6x8 Market | The Q Concept & Trading Co,6x8 Market | The Q Concept & Trading Co
